siteverkey_cat2,num_previous_months_binned,months,chosen_subs_length,subscription_summary_no_market,is_in_training
MUT,8,1,gen,ssc-MUT_ac-8_m-1_ccsl-gen,TRUE
MUT,8,3,gen,ssc-MUT_ac-8_m-3_ccsl-gen,TRUE
MUT,8,12,gen,ssc-MUT_ac-8_m-12_ccsl-gen,TRUE
MUT,8,24,gen,ssc-MUT_ac-8_m-24_ccsl-gen,FALSE
MUT,11,1,gen,ssc-MUT_ac-11_m-1_ccsl-gen,TRUE
MUT,11,3,gen,ssc-MUT_ac-11_m-3_ccsl-gen,TRUE
MUT,11,12,gen,ssc-MUT_ac-11_m-12_ccsl-gen,TRUE
MUT,11,24,gen,ssc-MUT_ac-11_m-24_ccsl-gen,FALSE
MUT,14,1,gen,ssc-MUT_ac-14_m-1_ccsl-gen,TRUE
MUT,14,3,gen,ssc-MUT_ac-14_m-3_ccsl-gen,TRUE
MUT,14,12,gen,ssc-MUT_ac-14_m-12_ccsl-gen,TRUE
MUT,14,24,gen,ssc-MUT_ac-14_m-24_ccsl-gen,FALSE
MUT,26,1,gen,ssc-MUT_ac-26_m-1_ccsl-gen,TRUE
MUT,26,3,gen,ssc-MUT_ac-26_m-3_ccsl-gen,TRUE
MUT,26,12,gen,ssc-MUT_ac-26_m-12_ccsl-gen,TRUE
MUT,26,24,gen,ssc-MUT_ac-26_m-24_ccsl-gen,FALSE
MUT,38,1,gen,ssc-MUT_ac-38_m-1_ccsl-gen,TRUE
MUT,38,3,gen,ssc-MUT_ac-38_m-3_ccsl-gen,TRUE
MUT,38,12,gen,ssc-MUT_ac-38_m-12_ccsl-gen,TRUE
MUT,38,24,gen,ssc-MUT_ac-38_m-24_ccsl-gen,FALSE
MUT,39,1,gen,ssc-MUT_ac-39_m-1_ccsl-gen,TRUE
MUT,39,3,gen,ssc-MUT_ac-39_m-3_ccsl-gen,TRUE
MUT,39,12,gen,ssc-MUT_ac-39_m-12_ccsl-gen,TRUE
MUT,39,24,gen,ssc-MUT_ac-39_m-24_ccsl-gen,FALSE
ORG,0,1,gen,ssc-ORG_ac-0_m-1_ccsl-gen,TRUE
ORG,0,3,gen,ssc-ORG_ac-0_m-3_ccsl-gen,TRUE
ORG,0,12,gen,ssc-ORG_ac-0_m-12_ccsl-gen,TRUE
ORG,0,24,gen,ssc-ORG_ac-0_m-24_ccsl-gen,FALSE
ORG,1,1,1,ssc-ORG_ac-1_m-1_ccsl-1,TRUE
ORG,1,1,-1,ssc-ORG_ac-1_m-1_ccsl--1,TRUE
ORG,1,1,12,ssc-ORG_ac-1_m-1_ccsl-12,FALSE
ORG,1,1,24,ssc-ORG_ac-1_m-1_ccsl-24,FALSE
ORG,1,1,3,ssc-ORG_ac-1_m-1_ccsl-3,TRUE
ORG,1,1,6,ssc-ORG_ac-1_m-1_ccsl-6,FALSE
ORG,1,3,1,ssc-ORG_ac-1_m-3_ccsl-1,FALSE
